Well,Date,Description,TR: L15 (uL),TR: FBS (%v/v),TR: DMSO (%v/v),TR: Doxorubicin (nM),TR: Treatment Time (hr)
A01,null,null,,,,,
A02,null,null,,,,,
A03,null,null,,,,,
A04,null,null,,,,,
A05,null,null,,,,,
A06,null,null,,,,,
A07,null,null,,,,,
A08,null,null,,,,,
A09,null,null,,,,,
A10,null,null,,,,,
A11,null,null,,,,,
A12,null,null,,,,,
B01,null,null,,,,,
B02,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,2500,6
B03,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,1250,6
B04,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,625,6
B05,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,312.5,6
B06,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,156.25,6
B07,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,78.125,6
B08,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,39.0625,6
B09,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,19.53125,6
B10,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,9.765625,6
B11,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,0,6
B12,null,null,,,,,
C01,null,null,,,,,
C02,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,2500,6
C03,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,1250,6
C04,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,625,6
C05,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,312.5,6
C06,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,156.25,6
C07,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,78.125,6
C08,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,39.0625,6
C09,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,19.53125,6
C10,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,9.765625,6
C11,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,0,6
C12,null,null,,,,,
D01,null,null,,,,,
D02,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,2500,6
D03,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,1250,6
D04,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,625,6
D05,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,312.5,6
D06,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,156.25,6
D07,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,78.125,6
D08,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,39.0625,6
D09,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,19.53125,6
D10,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,9.765625,6
D11,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,0,6
D12,null,null,,,,,
E01,null,null,,,,,
E02,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,2500,6
E03,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,1250,6
E04,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,625,6
E05,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,312.5,6
E06,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,156.25,6
E07,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,78.125,6
E08,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,39.0625,6
E09,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,19.53125,6
E10,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,9.765625,6
E11,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,0,6
E12,null,null,,,,,
F01,null,null,,,,,
F02,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,2500,6
F03,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,1250,6
F04,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,625,6
F05,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,312.5,6
F06,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,156.25,6
F07,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,78.125,6
F08,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,39.0625,6
F09,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,19.53125,6
F10,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,9.765625,6
F11,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,0,6
F12,null,null,,,,,
G01,null,null,,,,,
G02,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,2500,6
G03,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,1250,6
G04,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,625,6
G05,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,312.5,6
G06,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,156.25,6
G07,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,78.125,6
G08,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,39.0625,6
G09,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,19.53125,6
G10,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,9.765625,6
G11,2/20/2016,MDAMB468 H2BmRFP Passage 6,250,10,0,0,6
G12,null,null,,,,,
H01,null,null,,,,,
H02,null,null,,,,,
H03,null,null,,,,,
H04,null,null,,,,,
H05,null,null,,,,,
H06,null,null,,,,,
H07,null,null,,,,,
H08,null,null,,,,,
H09,null,null,,,,,
H10,null,null,,,,,
H11,null,null,,,,,
H12,null,null,,,,,
