Well,Date,Description,TR: DMEM (uL),TR: FBS (%v/v),TR: DMSO (%v/v),TR: Doxorubicin (nM),TR: Treatment Time (hr)
A01,null,null,,,,,
A02,null,null,,,,,
A03,null,null,,,,,
A04,null,null,,,,,
A05,null,null,,,,,
A06,null,null,,,,,
A07,null,null,,,,,
A08,null,null,,,,,
A09,null,null,,,,,
A10,null,null,,,,,
A11,null,null,,,,,
A12,null,null,,,,,
B01,null,null,,,,,
B02,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,2500,12
B03,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,1250,12
B04,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,625,12
B05,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,312.5,12
B06,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,156.25,12
B07,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,78.125,12
B08,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,39.0625,12
B09,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,19.53125,12
B10,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,9.765625,12
B11,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,0,12
B12,null,null,,,,,
C01,null,null,,,,,
C02,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,2500,12
C03,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,1250,12
C04,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,625,12
C05,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,312.5,12
C06,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,156.25,12
C07,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,78.125,12
C08,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,39.0625,12
C09,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,19.53125,12
C10,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,9.765625,12
C11,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,0,12
C12,null,null,,,,,
D01,null,null,,,,,
D02,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,2500,12
D03,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,1250,12
D04,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,625,12
D05,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,312.5,12
D06,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,156.25,12
D07,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,78.125,12
D08,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,39.0625,12
D09,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,19.53125,12
D10,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,9.765625,12
D11,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,0,12
D12,null,null,,,,,
E01,null,null,,,,,
E02,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,2500,12
E03,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,1250,12
E04,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,625,12
E05,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,312.5,12
E06,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,156.25,12
E07,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,78.125,12
E08,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,39.0625,12
E09,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,19.53125,12
E10,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,9.765625,12
E11,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,0,12
E12,null,null,,,,,
F01,null,null,,,,,
F02,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,2500,12
F03,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,1250,12
F04,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,625,12
F05,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,312.5,12
F06,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,156.25,12
F07,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,78.125,12
F08,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,39.0625,12
F09,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,19.53125,12
F10,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,9.765625,12
F11,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,0,12
F12,null,null,,,,,
G01,null,null,,,,,
G02,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,2500,12
G03,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,1250,12
G04,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,625,12
G05,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,312.5,12
G06,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,156.25,12
G07,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,78.125,12
G08,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,39.0625,12
G09,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,19.53125,12
G10,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,9.765625,12
G11,9/22/2015,MDAMB231 H2BmRFP FUCCImAG Passage 3,250,10,0,0,12
G12,null,null,,,,,
H01,null,null,,,,,
H02,null,null,,,,,
H03,null,null,,,,,
H04,null,null,,,,,
H05,null,null,,,,,
H06,null,null,,,,,
H07,null,null,,,,,
H08,null,null,,,,,
H09,null,null,,,,,
H10,null,null,,,,,
H11,null,null,,,,,
H12,null,null,,,,,
