Well,Date,Description,TR: F12 (uL),TR: FBS (%v/v),TR: DMSO (%v/v),TR: Doxorubicin (nM),TR: Treatment Time (hr)
A01,null,null,,,,,
A02,null,null,,,,,
A03,null,null,,,,,
A04,null,null,,,,,
A05,null,null,,,,,
A06,null,null,,,,,
A07,null,null,,,,,
A08,null,null,,,,,
A09,null,null,,,,,
A10,null,null,,,,,
A11,null,null,,,,,
A12,null,null,,,,,
B01,null,null,,,,,
B02,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,2500,6
B03,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,1250,6
B04,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,625,6
B05,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,312.5,6
B06,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,156.25,6
B07,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,78.125,6
B08,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,39.0625,6
B09,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,19.53125,6
B10,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,9.765625,6
B11,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,0,6
B12,null,null,,,,,
C01,null,null,,,,,
C02,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,2500,6
C03,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,1250,6
C04,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,625,6
C05,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,312.5,6
C06,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,156.25,6
C07,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,78.125,6
C08,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,39.0625,6
C09,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,19.53125,6
C10,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,9.765625,6
C11,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,0,6
C12,null,null,,,,,
D01,null,null,,,,,
D02,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,2500,6
D03,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,1250,6
D04,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,625,6
D05,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,312.5,6
D06,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,156.25,6
D07,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,78.125,6
D08,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,39.0625,6
D09,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,19.53125,6
D10,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,9.765625,6
D11,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,0,6
D12,null,null,,,,,
E01,null,null,,,,,
E02,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,2500,6
E03,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,1250,6
E04,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,625,6
E05,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,312.5,6
E06,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,156.25,6
E07,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,78.125,6
E08,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,39.0625,6
E09,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,19.53125,6
E10,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,9.765625,6
E11,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,0,6
E12,null,null,,,,,
F01,null,null,,,,,
F02,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,2500,6
F03,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,1250,6
F04,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,625,6
F05,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,312.5,6
F06,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,156.25,6
F07,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,78.125,6
F08,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,39.0625,6
F09,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,19.53125,6
F10,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,9.765625,6
F11,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,0,6
F12,null,null,,,,,
G01,null,null,,,,,
G02,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,2500,6
G03,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,1250,6
G04,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,625,6
G05,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,312.5,6
G06,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,156.25,6
G07,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,78.125,6
G08,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,39.0625,6
G09,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,19.53125,6
G10,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,9.765625,6
G11,1/15/2016,SUM149 H2BmRFP Passage 8,250,5,0,0,6
G12,null,null,,,,,
H01,null,null,,,,,
H02,null,null,,,,,
H03,null,null,,,,,
H04,null,null,,,,,
H05,null,null,,,,,
H06,null,null,,,,,
H07,null,null,,,,,
H08,null,null,,,,,
H09,null,null,,,,,
H10,null,null,,,,,
H11,null,null,,,,,
H12,null,null,,,,,
